time_period,total_load,cell_barring,cell_radius,pes_num
0,54.08704365093434,1,90,45
1,54.16450265684744,1,80,45
2,54.250213891466096,1,70,45
3,53.133790471099985,1,60,44
4,42.34806065013307,0,60,35
5,54.49522432585103,1,60,45
6,46.091878520377705,1,50,38
7,35.23920107855356,0,50,29
8,42.57538880231565,0,60,35
9,54.747389583504344,1,60,45
10,47.54328088009246,1,50,39
11,39.06511470243172,0,50,32
12,43.993803035972036,0,60,36
13,54.987348801476635,1,60,45
14,46.52753068482943,1,50,38
15,39.250255154236854,0,50,32
16,44.21042094924586,0,60,36
17,55.210312177993465,1,60,45
18,46.73894783085107,1,50,38
19,39.42070857994701,0,50,32
20,44.38212590094706,0,60,36
21,55.415392714674546,1,60,45
22,46.92420296879426,1,50,38
