time_period,total_load,cell_barring,cell_radius,pes_num
0,54.09291508717383,1,90,45
1,54.17118466498942,1,80,45
2,55.47002740812892,1,70,46
3,51.925127907356554,1,60,43
4,39.9206584679521,0,60,33
5,52.080847680141794,1,60,43
6,43.66229074319595,0,60,36
7,52.21119801722373,1,60,43
8,44.996558871034004,0,60,37
9,52.36129979398711,1,60,43
10,45.12919943683673,1,50,37
11,31.74117460909389,0,50,26
12,41.5680749901437,0,60,34
13,52.58288175282314,1,60,43
14,44.10499361092669,0,60,36
15,52.705783790938696,1,60,43
16,44.2137552478144,0,60,36
17,52.831192366305125,1,60,43
18,45.547393859595395,1,50,37
19,33.30362419516681,0,50,27
20,41.98404857825843,0,60,34
21,53.047976258219464,1,60,43
22,44.52978756623942,0,60,36
