time_period,total_load,cell_barring,cell_radius,pes_num
0,53.88383997158878,1,90,45
1,53.76461659576792,1,80,45
2,53.655243918188376,1,70,45
3,51.16515819396185,1,60,43
4,43.94180645179467,0,60,37
5,50.98612904332006,1,60,43
6,44.95684376651636,0,60,38
7,50.773334712004896,1,60,43
8,45.94786741409495,1,50,39
9,34.08207829907713,0,50,29
10,43.42839050838428,0,60,37
11,50.43007635514497,1,60,43
12,45.63200133442738,1,50,39
13,38.50419982223406,0,50,33
14,43.107888717507656,0,60,37
15,50.07960276341391,1,60,43
16,45.30393152122237,1,50,39
17,38.23105234879694,0,50,33
18,42.8097271490624,0,60,37
19,49.7531000119312,1,60,43
20,44.99038162013307,0,60,39
21,49.570592823198325,1,60,43
22,43.67495375339021,0,60,38
