time_period,total_load,cell_barring,cell_radius,pes_num
0,53.67235183923425,1,90,45
1,53.3688849409637,1,80,45
2,53.031052936730966,1,70,45
3,48.03332528216456,1,60,41
4,40.74044886845866,0,60,35
5,46.31219289608004,1,60,40
6,40.290423701369114,0,60,35
7,45.81086055524612,1,60,40
8,41.00365313286302,0,60,36
9,45.33180587173823,1,60,40
10,40.547369741379576,0,60,36
11,44.85758126702533,0,70,40
12,51.7031140296265,1,70,46
13,47.93559565243097,1,60,43
14,42.109648116574654,0,60,38
15,46.38340323311182,1,60,42
16,40.476871092366835,0,60,37
17,44.714502463473195,0,70,41
18,50.40682720064517,1,70,46
19,45.516866443932095,1,60,42
20,39.78771723312965,0,60,37
21,43.97830324830824,0,70,41
22,49.62275615355742,1,70,46
