time_period,total_load,cell_barring,cell_radius,pes_num
0,54.088709405720635,1,90,45
1,54.177683193713335,1,80,45
2,54.26462286090202,1,70,45
3,53.141776700926876,1,60,44
4,47.18170042020493,1,50,39
5,38.769041674900635,0,50,32
6,47.32400239011382,1,50,39
7,40.10901853151836,0,50,33
8,47.4557318299478,1,50,39
9,41.442046177936554,0,50,34
10,47.58890427877911,1,50,39
11,41.5621730983861,0,50,34
12,47.714594739001086,1,50,39
13,41.67540532438812,0,50,34
14,47.83018240515832,1,50,39
15,41.757708969278475,0,50,34
16,47.935539831662076,1,50,39
17,41.85948263996854,0,50,34
18,48.03235375538367,1,50,39
19,41.94670888694675,0,50,34
20,48.13551224411851,1,50,39
21,42.04544897961446,0,50,34
22,48.22807881993962,1,50,39
