time_period,total_load,cell_barring,cell_radius
0,54.09784491680765,1,90
1,54.188160544424754,1,80
2,54.27514869824061,1,70
3,53.15034346310473,1,60
4,41.13226767767864,0,60
5,53.30061646249649,1,60
6,43.68622934283377,0,60
7,46.1834868705334,1,60
8,41.395350105522084,0,60
9,41.45654370856129,0,70
10,43.929247383987565,0,80
11,43.98851616598141,0,90
12,44.043020561752094,0,100
13,44.096224899655375,0,110
14,44.14179423393875,0,120
15,44.17973638341851,0,130
16,44.23419604331116,0,140
