time_period,total_load,cell_barring,cell_radius
0,53.88934096741803,1,90
1,53.78119564856089,1,80
2,52.46261504830069,1,70
3,47.59632963613744,1,60
4,37.98865311605077,0,60
5,47.41383971699804,1,60
6,42.57060523339692,0,60
7,42.48434251543414,0,70
8,47.170843926394255,1,70
9,44.68915136145019,0,70
10,44.598119091597646,0,80
11,45.70540873728999,1,80
12,45.62004539526671,1,70
13,43.15824584122979,0,70
14,43.07240962678267,0,80
15,42.99646745445246,0,90
16,42.9055310769426,0,100
