time_period,total_load,cell_barring,cell_radius
0,53.63606597972111,1,90
1,53.2918229905679,1,80
2,54.19263499141532,1,70
3,49.181080907530216,1,60
4,38.42342311655313,0,60
5,47.48752109646666,1,60
6,41.42202284010114,0,60
7,42.329419755449365,0,70
8,48.0294250845419,1,70
9,44.23548643970589,0,70
10,45.20917145710904,1,70
11,42.674829201597575,0,70
12,42.424387495077816,0,80
13,43.43263524678781,0,90
14,43.26443628689995,0,100
15,43.10135585740718,0,110
16,42.92980866649457,0,120
