time_period,cell_id,pe_id,load
0,0,0,1.1882533564668256
0,0,1,1.1975146185514607
0,0,2,1.1938744466662343
0,0,3,1.1955912972557428
0,0,4,1.1895077889031278
0,0,5,1.1933606008071
0,0,6,1.193213629139348
0,0,7,1.1957722517228284
0,0,8,1.1959070088120483
0,0,9,1.1978061564518672
0,0,10,1.1968962745465217
0,0,11,1.194215082062477
0,0,12,1.194188261956066
0,0,13,1.1935368251664307
0,0,14,1.1941565433384655
0,0,15,1.1945167149206
0,0,16,1.1897350855329347
0,0,17,1.1889920237079945
0,0,18,1.1896763487470012
0,0,19,1.1929734420586087
0,0,20,1.1924050827698964
0,0,21,1.1921625897844208
0,0,22,1.1936270455734004
0,0,23,1.1928791715039004
0,0,24,1.1903828852853195
0,0,25,1.1930329001585178
0,0,26,1.1990513164279053
0,0,27,1.1911025369351336
0,0,28,1.1897875057562848
0,0,29,1.1941702454714545
0,0,30,1.1940060706160662
0,0,31,1.1905564141595595
0,0,32,1.1892448169061096
0,0,33,1.1917899818148623
0,0,34,1.197832085973524
0,0,35,1.1923058173112906
0,0,36,1.195688216785246
0,0,37,1.1907908605333426
0,0,38,1.1960349295406447
0,0,39,1.1913960892963096
0,0,40,1.1961032115013566
0,0,41,1.1886720720275303
0,0,42,1.1883317250043008
0,0,43,1.1861999624125226
0,0,44,1.1926633606254025
