time_period,total_load,cell_barring,cell_radius,pes_num
0,53.61967874705418,1,90,45
1,53.27490803662942,1,80,45
2,51.78228001899093,1,70,44
3,47.94854931699236,1,60,41
4,40.698071261270655,0,60,35
5,47.45182887277266,1,60,41
6,42.52631038015711,0,60,37
7,43.46412906885039,0,70,38
8,47.94604406271009,1,70,42
9,45.37527279683821,1,60,40
10,41.723151533704716,0,60,37
11,41.54248361067171,0,70,37
12,41.35926352214784,0,80,37
13,41.16674001704593,0,90,37
14,40.99203632662125,0,100,37
15,40.78411673840096,0,110,37
16,40.605093202164745,0,120,37
17,40.422849247851076,0,130,37
18,40.259520606097944,0,140,37
19,40.108622534567296,0,150,37
20,39.9088757078519,0,160,37
21,39.743444361350264,0,170,37
22,39.55630124372517,0,180,37
23,39.389506001896436,0,190,37
24,39.123570443539705,0,200,37
25,38.864747852998214,0,210,37
26,38.61074784170185,0,220,37
27,38.35845892366107,0,230,37
28,38.184635358506114,0,240,37
29,38.017466091959356,0,250,37
30,37.84754797271335,0,260,37
31,37.680474084670564,0,270,37
32,37.53655834027999,0,280,37
33,37.3838465316046,0,290,37
34,37.25393411874967,0,300,37
35,37.13190601439515,0,310,37
36,36.97211847608777,0,320,37
37,36.84806835513369,0,330,37
38,36.70180973243434,0,340,37
39,36.539831657970325,0,350,37
40,36.382354305397335,0,360,37
41,36.242370634659125,0,370,37
42,36.13448002369208,0,380,37
43,36.04321334805175,0,390,37
44,35.9212408186631,0,400,37
45,37.103594929555705,0,410,38
46,36.9931684885797,0,420,38
47,36.88170879122945,0,430,38
48,38.0477322718454,0,440,39
49,37.959324347209844,0,450,39
50,37.90630036948507,0,460,39
51,37.86316357304163,0,470,39
52,37.80264378875061,0,480,39
53,38.990865892292746,0,490,40
54,38.91046784187487,0,500,40
55,38.88581638023975,0,510,40
56,38.822686308609754,0,520,40
57,38.777109603016946,0,530,40
58,38.72262900948081,0,540,40
59,38.63430643550616,0,550,40
60,38.60644316829717,0,560,40
61,38.54344897434399,0,570,40
62,38.50878048336148,0,580,40
63,38.488461282402056,0,590,40
64,38.457086341813074,0,600,40
65,38.397282549211184,0,610,40
66,38.33168364639289,0,620,40
67,38.316260962406844,0,630,40
68,38.28224675550169,0,640,40
69,38.22020697083252,0,650,40
70,38.18894882169222,0,660,40
71,38.174337482903404,0,670,40
72,38.150944841005135,0,680,40
73,38.16208738218274,0,690,40
74,38.14273346527447,0,700,40
75,39.475040910062916,0,710,41
76,39.450723812514624,0,720,41
77,39.47337667963065,0,730,41
78,39.46945643014369,0,740,41
79,39.46878233800726,0,750,41
80,42.027011543633996,0,760,43
81,42.049778998854094,0,770,43
82,42.08461296088531,0,780,43
83,42.09879940883228,0,790,43
84,42.11850968162109,0,800,43
85,42.171200372601476,0,810,43
86,42.15375557186684,0,820,43
87,42.178882694641366,0,830,43
88,42.19955784868387,0,840,43
89,42.21701050904258,0,850,43
90,42.218472318257625,0,860,43
91,42.237199978823604,0,870,43
92,42.22565106684129,0,880,43
93,42.25938218855913,0,890,43
94,42.284327584748915,0,900,43
95,42.30000176666419,0,910,43
96,42.33174097209303,0,920,43
97,42.36600589837557,0,930,43
98,42.39241978885863,0,940,43
99,42.42548189643213,0,950,43
100,42.46006897062451,0,960,43
101,42.467252693070805,0,970,43
102,42.50392727319076,0,980,43
103,42.525194330481376,0,990,43
104,42.55413184045594,0,1000,43
105,42.539728245756145,0,1010,43
106,42.543042296068535,0,1020,43
107,42.578550214140584,0,1030,43
108,42.59975274176202,0,1040,43
109,42.638255230617105,0,1050,43
110,42.64986344529227,0,1060,43
111,45.297902797776594,1,1060,45
112,45.34003565056592,1,1050,45
113,45.3855998040738,1,1040,45
114,45.41117143696675,1,1030,45
115,45.43380817037047,1,1020,45
116,45.46418089687921,1,1010,45
117,45.49116640420272,1,1000,45
118,45.51793398729112,1,990,45
119,45.535785171672266,1,980,45
120,45.56674899790145,1,970,45
121,45.62330586804389,1,960,45
122,45.63338718210954,1,950,45
123,45.682278669629795,1,940,45
124,45.72298770570394,1,930,45
125,45.769916818963104,1,920,45
126,45.806895648719824,1,910,45
127,45.837152772156735,1,900,45
128,45.85769396016017,1,890,45
129,45.89019312909635,1,880,45
130,45.92163158546283,1,870,45
131,45.96647886569364,1,860,45
132,46.02090308828511,1,850,45
133,46.0209762149408,1,840,45
134,46.072871244369296,1,830,45
135,46.0969122601291,1,820,45
136,46.1378838882297,1,810,45
137,46.14080233537566,1,800,45
138,46.17761764785027,1,790,45
139,46.223433941951775,1,780,45
140,46.29156113605673,1,770,45
141,46.352745086108314,1,760,45
142,46.40433857896177,1,750,45
143,46.480071816411865,1,740,45
144,46.5140430658992,1,730,45
145,46.56195123283337,1,720,45
146,46.61700126128259,1,710,45
147,46.64630881013197,1,700,45
148,46.64947338762438,1,690,45
149,46.66802230247207,1,680,45
150,46.713466249777476,1,670,45
151,46.74644930576453,1,660,45
152,46.773293969869954,1,650,45
153,46.77902531086362,1,640,45
154,46.810937066426305,1,630,45
155,46.86378685803629,1,620,45
156,46.86927248718888,1,610,45
157,46.89847210420906,1,600,45
158,46.94124646861674,1,590,45
159,46.977719778832096,1,580,45
160,47.008236876036655,1,570,45
161,47.064278266457364,1,560,45
162,47.11069289334424,1,550,45
163,47.1527830109593,1,540,45
164,47.16621897502356,1,530,45
165,47.18393103309298,1,520,45
166,47.222298954011315,1,510,45
167,47.267399190429586,1,500,45
168,47.28425144139132,1,490,45
169,47.31752357829814,1,480,45
170,47.356835793701514,1,470,45
171,47.369669175459215,1,460,45
172,47.42096912579471,1,450,45
173,47.43463294803055,1,440,45
174,47.454144176203286,1,430,45
175,47.479198075462996,1,420,45
176,47.52197178128317,1,410,45
