time_period,total_load,cell_barring,cell_radius,pes_num
205,49.58411052626326,1,1400,38
206,49.56221058263709,1,1390,38
207,49.54275357615621,1,1380,38
208,49.52508588501975,1,1370,38
209,49.51971010842656,1,1360,38
210,49.49867754776853,1,1350,38
211,49.480024764704304,1,1340,38
212,49.46020010809517,1,1330,38
213,49.44683302355056,1,1320,38
214,49.432860228758166,1,1310,38
215,49.41028080510695,1,1300,38
216,49.37146478490458,1,1290,38
217,49.326683258248245,1,1280,38
218,49.28178528980123,1,1270,38
219,49.231235414014954,1,1260,38
220,49.20945046510761,1,1250,38
221,49.182361963020966,1,1240,38
222,49.17769009197075,1,1230,38
223,49.16435571234668,1,1220,38
224,49.14044462032108,1,1210,38
225,49.1191589750626,1,1200,38
226,49.10663386449766,1,1190,38
227,49.07773653006469,1,1180,38
228,49.070630703827774,1,1170,38
229,49.0401815067293,1,1160,38
230,48.990102455023695,1,1150,38
231,48.98446547788289,1,1140,38
232,48.978426507662185,1,1130,38
233,48.955801404919626,1,1120,38
234,48.93713249654735,1,1110,38
235,48.912627884966476,1,1100,38
236,48.89977920447171,1,1090,38
237,48.86194638223773,1,1080,38
238,48.85045792175798,1,1070,38
239,48.83838427852098,1,1060,38
240,48.81259418861024,1,1050,38
241,48.793194983387124,1,1040,38
242,48.7788944189536,1,1030,38
243,48.753452046589636,1,1020,38
244,48.72808736142086,1,1010,38
245,48.70774094326315,1,1000,38
246,48.70267475123331,1,990,38
247,48.69327828538041,1,980,38
248,48.68190423507376,1,970,38
249,48.65190631423284,1,960,38
250,48.62865759141083,1,950,38
251,48.616388542892366,1,940,38
252,48.60262361731419,1,930,38
253,48.58814642488559,1,920,38
254,48.5678744313477,1,910,38
255,48.546606190354844,1,900,38
256,48.533674184880326,1,890,38
257,48.52601190009043,1,880,38
258,48.52202461815272,1,870,38
259,48.51944158083648,1,860,38
260,48.491150301975864,1,850,38
261,48.48699091254231,1,840,38
262,48.47024419750137,1,830,38
263,48.44431422036789,1,820,38
264,48.42759501067389,1,810,38
265,48.41751109544963,1,800,38
266,48.41318842595743,1,790,38
267,48.383951677462186,1,780,38
268,48.365819917735834,1,770,38
269,48.35996066536893,1,760,38
270,48.34786339456964,1,750,38
271,48.34030055961781,1,740,38
272,48.32588427376747,1,730,38
273,48.31964160065768,1,720,38
274,48.3223414673384,1,710,38
275,48.29401014522869,1,700,38
276,48.25629423543653,1,690,38
277,48.246613670159654,1,680,38
278,48.24459126414266,1,670,38
279,48.237377905209755,1,660,38
280,48.23911586099988,1,650,38
281,48.22702135788377,1,640,38
282,48.20614047088935,1,630,38
283,48.19420726143374,1,620,38
284,48.187455855107814,1,610,38
285,48.18341215039309,1,600,38
286,48.17371479350948,1,590,38
287,48.16939318525151,1,580,38
288,48.15621563957505,1,570,38
289,48.15022166313178,1,560,38
290,48.13128152063358,1,550,38
291,48.12143273159871,1,540,38
292,48.105258351741476,1,530,38
293,48.090984715905606,1,520,38
294,48.08004422274044,1,510,38
295,48.060278553721844,1,500,38
296,48.061893176725384,1,490,38
297,48.04917374359825,1,480,38
298,48.04097007995124,1,470,38
299,48.02659255265106,1,460,38
300,48.015888959506185,1,450,38
301,48.00951758708001,1,440,38
302,48.00514541507389,1,430,38
303,48.00212566186464,1,420,38
304,47.98911190913565,1,410,38
305,47.97694002276803,1,400,38
306,47.95595938656066,1,390,38
307,47.929319032276155,1,380,38
308,47.91517806701792,1,370,38
309,47.91101770661428,1,360,38
310,46.37518752349601,1,350,37
311,46.367053685679124,1,340,37
312,46.35324223657391,1,330,37
313,46.33502237983213,1,320,37
314,46.321694176111045,1,310,37
315,46.317655751951136,1,300,37
316,44.844138454147796,0,300,36
317,44.83546916925536,0,310,36
318,44.81957328426596,0,320,36
319,44.81041612730099,0,330,36
320,44.807236805064704,0,340,36
321,44.80341498549856,0,350,36
322,44.80281256263676,0,360,36
323,44.79398572372459,0,370,36
324,44.780263791398234,0,380,36
325,44.770253276370724,0,390,36
326,44.75028458588042,0,400,36
327,44.74107857703696,0,410,36
328,44.76131922572147,0,420,36
329,44.760143827665736,0,430,36
330,44.76009492729693,0,440,36
331,44.7413351091907,0,450,36
332,44.7139480795911,0,460,36
333,44.70608609139609,0,470,36
334,44.68283802556744,0,480,36
335,44.671669856814106,0,490,36
336,44.64650257434512,0,500,36
337,44.620185897889684,0,510,36
338,44.61836217536414,0,520,36
339,44.603665620036324,0,530,36
340,44.59229947722543,0,540,36
341,44.58568024191452,0,550,36
342,44.58450285440936,0,560,36
343,44.567229796499404,0,570,36
344,44.55913525260762,0,580,36
345,44.53488031422661,0,590,36
346,44.54354397166484,0,600,36
347,44.54749719772935,0,610,36
348,44.52796218552936,0,620,36
349,44.51102910952365,0,630,36
350,44.50986590367261,0,640,36
351,44.494857242122876,0,650,36
352,44.505416996222245,0,660,36
353,44.50983673319551,0,670,36
354,44.50828441661057,0,680,36
355,44.50735886823589,0,690,36
356,44.50212892041077,0,700,36
357,44.495902489236315,0,710,36
358,44.48397042927358,0,720,36
359,44.4650569045811,0,730,36
360,44.4580307707467,0,740,36
361,44.42407108124933,0,750,36
362,44.41057202713597,0,760,36
363,44.40263010859604,0,770,36
364,44.38805549650401,0,780,36
365,44.39601865718292,0,790,36
366,44.38449633573776,0,800,36
367,44.37035546768821,0,810,36
368,44.37478253509377,0,820,36
369,44.35027589635904,0,830,36
370,44.33910043391279,0,840,36
371,44.34115700210026,0,850,36
372,44.346841890875794,0,860,36
373,44.327067745088186,0,870,36
374,44.306517072915945,0,880,36
375,44.29644021555987,0,890,36
376,44.29580916269138,0,900,36
377,44.28223878285297,0,910,36
378,44.27869033526548,0,920,36
379,44.278290732250134,0,930,36
380,44.278398005307594,0,940,36
381,44.27474137197177,0,950,36
382,44.277237968218,0,960,36
383,44.27875455382254,0,970,36
384,44.27284308392651,0,980,36
385,44.26562281067139,0,990,36
386,44.26238738497577,0,1000,36
387,44.26814746551132,0,1010,36
388,44.268167444569485,0,1020,36
389,44.26967933314922,0,1030,36
390,44.25885728059861,0,1040,36
391,44.26021290494198,0,1050,36
392,44.26568331937171,0,1060,36
393,44.26560578881092,0,1070,36
394,44.266232084796634,0,1080,36
395,44.26557914480395,0,1090,36
396,44.26344503260128,0,1100,36
397,44.26330324913972,0,1110,36
398,44.27413326495694,0,1120,36
399,44.27045194639161,0,1130,36
400,44.26753211437874,0,1140,36
401,44.2655161053511,0,1150,36
402,44.267968552056416,0,1160,36
403,44.264839398715196,0,1170,36
404,44.26238398987742,0,1180,36
405,44.25183265175196,0,1190,36
406,44.23650249395564,0,1200,36
407,44.24094205293611,0,1210,36
408,44.239044144459925,0,1220,36
409,44.22728869767578,0,1230,36
410,44.21820943148078,0,1240,36
411,44.214733104268646,0,1250,36
412,44.22303822721769,0,1260,36
413,44.22367981775676,0,1270,36
414,44.22262005792748,0,1280,36
415,44.22059246117155,0,1290,36
416,44.22238722174091,0,1300,36
417,44.23387285894633,0,1310,36
418,44.23774716797437,0,1320,36
419,44.226419903283684,0,1330,36
420,44.23142234248887,0,1340,36
421,44.23246551350078,0,1350,36
422,46.21433465847803,1,1350,37
423,48.27631008327462,1,1340,38
424,50.22653685107282,1,1330,39
425,50.19787310152036,1,1320,39
426,50.169762355919815,1,1310,39
427,50.154179631130226,1,1300,39
428,50.149479623627265,1,1290,39
429,50.11453847882836,1,1280,39
430,50.07054710388396,1,1270,39
431,50.02245285684084,1,1260,39
432,50.0115626779823,1,1250,39
433,50.00360701626669,1,1240,39
434,49.9725108002185,1,1230,39
435,49.969358734019934,1,1220,39
436,49.93908314898835,1,1210,39
437,49.932522638612035,1,1200,39
438,49.90722590788135,1,1190,39
439,49.877608782171194,1,1180,39
440,49.858286716328514,1,1170,39
441,49.85087895795347,1,1160,39
442,49.818215473856725,1,1150,39
443,49.78423920353011,1,1140,39
444,49.748328033651774,1,1130,39
445,49.72076033327069,1,1120,39
446,49.717321592096916,1,1110,39
447,49.693428634162665,1,1100,39
448,49.653727780112334,1,1090,39
449,49.64304661983535,1,1080,39
450,49.63814858463685,1,1070,39
451,49.62974324598359,1,1060,39
452,49.61062999982532,1,1050,39
453,49.591286242111934,1,1040,39
454,49.56968087351319,1,1030,39
455,49.54091066118854,1,1020,39
456,49.533930061132565,1,1010,39
457,49.52081044383993,1,1000,39
458,49.51023634489341,1,990,39
459,49.50176154028776,1,980,39
460,49.48764795434058,1,970,39
461,49.48406967217897,1,960,39
462,49.47336408363385,1,950,39
463,49.46193209649006,1,940,39
464,49.4350402889577,1,930,39
465,49.43067849208848,1,920,39
466,49.411048006262774,1,910,39
467,49.40887595476701,1,900,39
468,49.41514131505991,1,890,39
469,49.407057677125344,1,880,39
470,49.39888908801857,1,870,39
471,49.39589795617836,1,860,39
472,49.36928014064268,1,850,39
473,49.35124715396837,1,840,39
474,49.354389041424504,1,830,39
475,49.35426811215653,1,820,39
476,49.34111408907084,1,810,39
477,49.33608444177802,1,800,39
478,49.326709828370994,1,790,39
479,49.31264116368956,1,780,39
480,49.29758034329027,1,770,39
481,49.30616763373308,1,760,39
482,49.295159422677024,1,750,39
483,49.28416613788204,1,740,39
484,49.28562047356054,1,730,39
485,49.2842671370934,1,720,39
486,49.275621171420795,1,710,39
487,49.26648784089867,1,700,39
488,49.25359837291761,1,690,39
489,49.23590081956585,1,680,39
490,49.242655177130985,1,670,39
491,49.236995754908676,1,660,39
492,49.24018003885334,1,650,39
493,49.227262669594616,1,640,39
494,49.21323787581087,1,630,39
495,49.20467520173124,1,620,39
496,49.18974570077996,1,610,39
497,49.18138308356683,1,600,39
498,49.17419979808633,1,590,39
499,49.17688800174851,1,580,39
500,49.17326225028596,1,570,39
501,49.169800103069555,1,560,39
502,49.159239767704534,1,550,39
503,49.14246328450791,1,540,39
504,49.1399241717119,1,530,39
505,49.106035081389685,1,520,39
506,49.092174377830595,1,510,39
507,49.08653381171675,1,500,39
508,49.074885396912734,1,490,39
509,49.06614487948881,1,480,39
510,49.054529652755576,1,470,39
511,49.04457564279769,1,460,39
512,49.0484769667074,1,450,39
513,49.0422715203518,1,440,39
514,49.0321207009479,1,430,39
515,49.01753877322205,1,420,39
516,49.01197849873472,1,410,39
517,48.98809970764096,1,400,39
518,48.98270648719584,1,390,39
519,48.97654646073434,1,380,39
520,48.96144445402115,1,370,39
521,48.951683821261994,1,360,39
522,47.31323103453502,1,350,38
523,47.31072819714608,1,340,38
524,47.29724888238787,1,330,38
525,47.29829558046461,1,320,38
526,47.30114208158274,1,310,38
527,47.281878769099755,1,300,38
528,45.71872538475805,1,290,37
529,45.70430157840887,1,280,37
530,45.69658039817829,1,270,37
531,45.68712629133496,1,260,37
532,45.68480148558836,1,250,37
533,45.66256564939787,1,240,37
534,45.64584927015235,1,230,37
535,45.63674721363327,1,220,37
536,45.64649096007416,1,210,37
537,45.647823526257866,1,200,37
538,45.62775587790964,1,190,37
539,45.63656605687325,1,180,37
540,45.64095600684084,1,170,37
541,45.63019581036461,1,160,37
542,45.62018976172071,1,150,37
543,45.62321449369416,1,140,37
544,45.62944838901726,1,130,37
545,44.35114811307305,0,130,36
546,44.3400344874916,0,140,36
547,44.32819713898376,0,150,36
548,44.32410196240391,0,160,36
549,44.31756884203786,0,170,36
550,44.30418087244263,0,180,36
551,44.29464295423046,0,190,36
552,44.28927516527166,0,200,36
553,44.283459153117526,0,210,36
554,44.278039243607466,0,220,36
555,44.289860034481244,0,230,36
556,44.286407504954866,0,240,36
557,44.28981953463784,0,250,36
558,44.28124715156272,0,260,36
559,44.27595850451234,0,270,36
560,44.28393879847482,0,280,36
561,44.29011848927809,0,290,36
562,44.297657121830106,0,300,36
563,44.29357541805445,0,310,36
564,44.2609841497837,0,320,36
565,44.24423502759647,0,330,36
566,44.257085216785526,0,340,36
567,44.25551254138138,0,350,36
568,44.267942534511974,0,360,36
569,44.26769358410813,0,370,36
570,44.272190839484296,0,380,36
571,44.272512556941855,0,390,36
572,44.27531226806026,0,400,36
573,44.26929605166061,0,410,36
574,44.264006728110346,0,420,36
575,44.25873031497698,0,430,36
576,44.26058573711227,0,440,36
577,44.26234108131439,0,450,36
578,44.25466150706838,0,460,36
579,44.24758142993984,0,470,36
580,44.2387791448531,0,480,36
581,44.222686558679015,0,490,36
582,44.22550343827368,0,500,36
583,44.225432994219034,0,510,36
584,44.23017283654299,0,520,36
585,44.22362922180284,0,530,36
586,44.21239900721083,0,540,36
587,44.20524678389101,0,550,36
588,44.200861440323685,0,560,36
589,44.18447342405415,0,570,36
590,44.18266824765702,0,580,36
591,44.16733127565545,0,590,36
592,44.14985405625305,0,600,36
593,44.14760427698038,0,610,36
594,44.13761168987241,0,620,36
595,44.140959873992045,0,630,36
596,44.133038545901194,0,640,36
597,44.12938918404002,0,650,36
598,44.12456476252178,0,660,36
599,44.11883069805307,0,670,36
600,44.13258741764109,0,680,36
601,44.1175442128477,0,690,36
602,44.126716231819394,0,700,36
603,44.12647278078201,0,710,36
604,44.123468908955,0,720,36
605,44.12463150803435,0,730,36
606,44.12519708056103,0,740,36
607,44.114248272771306,0,750,36
608,44.10198126714612,0,760,36
609,44.08660070755601,0,770,36
610,44.08271616816051,0,780,36
611,44.07383747411431,0,790,36
612,44.08214358835069,0,800,36
613,44.08198173897066,0,810,36
614,44.08015810061032,0,820,36
615,44.08406522167342,0,830,36
616,44.06927096069735,0,840,36
617,44.064741414661874,0,850,36
618,47.680664079529535,1,850,38
619,49.737592081916986,1,840,39
620,51.50089468494762,1,830,40
621,51.48074326445456,1,820,40
622,51.43723523002775,1,810,40
623,51.41582453323568,1,800,40
624,51.39245967732753,1,790,40
