time_period,total_load,cell_barring,cell_radius
113,49.44883620890001,1,100
114,49.44521083848457,1,100
115,49.495705468243116,1,100
116,49.54951215190015,1,100
117,49.57330301683977,1,100
118,49.52683707235907,1,100
119,49.48632338681234,1,100
120,49.59351789133339,1,100
121,49.76961068544983,1,100
122,49.78342803251008,1,100
123,49.80945101085537,1,100
124,49.812533185715836,1,100
125,49.72888285455893,1,100
126,49.73871485602853,1,100
127,49.695753804760514,1,100
128,49.67626676557916,1,100
129,49.802494613962594,1,100
130,49.82586549530028,1,100
131,49.93975945960549,1,100
132,49.99664482529616,1,100
133,50.0098810808349,1,100
134,50.11491307852619,1,100
135,50.245525139234616,1,100
136,50.36990584650309,1,100
137,50.48671417739911,1,100
138,50.4604503984483,1,100
139,50.55149338203768,1,100
140,50.52049010541518,1,100
141,50.50526508905933,1,100
142,50.50483407417729,1,100
143,50.48457026441105,1,100
144,50.521592663016655,1,100
145,50.45418790452678,1,100
146,50.40159408884007,1,100
147,50.4687853075069,1,100
148,50.37300193756326,1,100
149,50.34172201702794,1,100
150,50.38341091537998,1,100
151,50.39839022027393,1,100
152,50.44140529396344,1,100
153,50.41829688201233,1,100
154,50.39931938397603,1,100
155,50.4905658544822,1,100
156,50.61782330892568,1,100
157,50.56718867124543,1,100
158,50.539884135550345,1,100
159,50.618610534637696,1,100
160,50.61788444415069,1,100
161,50.55155188770134,1,100
162,50.61394960747831,1,100
163,50.63546466415295,1,100
164,50.66832066086523,1,100
165,50.62225864684665,1,100
166,50.51810053316672,1,100
167,50.5282768351509,1,100
168,50.58306329977166,1,100
169,50.55945145651463,1,100
170,50.65254717485044,1,100
171,50.74086015711959,1,100
172,50.716457837171745,1,100
173,50.70316373854873,1,100
174,50.75161493337584,1,100
175,50.69866625458798,1,100
176,50.69409079066821,1,100
177,50.78405564213004,1,100
178,50.774983335796755,1,100
179,50.848069726981436,1,100
180,50.75196705990422,1,100
181,50.58874039567039,1,100
182,50.79538310873954,1,100
183,50.67806907370885,1,100
184,50.704248584250735,1,100
185,50.69015471895332,1,100
186,50.63822998972828,1,100
187,50.61695782677419,1,100
188,50.68874140450626,1,100
189,50.68371070064225,1,100
190,50.71720933347804,1,100
191,50.78645007456717,1,100
192,50.83138620127114,1,100
193,50.9771506305104,1,100
194,50.98520558252835,1,100
195,50.98648669319948,1,100
196,51.011008374936544,1,100
197,51.068461706977004,1,100
198,51.082665410204044,1,100
199,51.13128294641387,1,100
200,51.225096055638204,1,100
201,51.239454082234616,1,100
202,51.183806107181056,1,100
203,51.1766231238855,1,100
