time_period,total_load,cell_barring,cell_radius
0,45.13412823962707,1,100
1,45.26212325376676,1,100
2,45.40166231526435,1,100
3,45.47110972961542,1,100
4,45.582395022541625,1,100
5,45.61243094385927,1,100
6,45.68754164182912,1,100
7,45.78105199767643,1,100
8,45.83982642427642,1,100
9,45.86887135128441,1,100
10,45.90412869307048,1,100
11,45.90347044131498,1,100
12,45.97766303822853,1,100
13,46.04070182967802,1,100
14,46.01591598867077,1,100
15,46.036422971406466,1,100
16,46.12896498811038,1,100
17,46.114361394519264,1,100
18,46.15560020371346,1,100
19,46.16997915797303,1,100
20,46.26991596715259,1,100
21,46.37688202426482,1,100
22,46.42244568589659,1,100
23,46.43931214134385,1,100
24,46.38163172884437,1,100
25,46.360616415184865,1,100
26,46.40829171711001,1,100
27,46.3444240041912,1,100
28,46.32165275576875,1,100
29,46.37699982577774,1,100
30,46.41458979193526,1,100
31,46.422294645457995,1,100
32,46.489912688540116,1,100
33,46.43382724471819,1,100
34,46.470348423663815,1,100
35,46.47457716498212,1,100
36,46.57036066739861,1,100
37,46.582125272311394,1,100
38,46.66001636536536,1,100
39,46.74950800451455,1,100
40,46.70632512653642,1,100
41,46.681492672708764,1,100
42,46.753046654460924,1,100
43,46.785621855915856,1,100
44,46.57813323126106,1,100
45,46.64528564245802,1,100
46,46.74097190107479,1,100
47,46.86157834543204,1,100
48,46.90121610667938,1,100
49,46.88812830542087,1,100
50,46.83428833608778,1,100
51,46.749563853990914,1,100
52,46.87721568902934,1,100
53,46.987500540682554,1,100
54,46.975346246901545,1,100
55,47.02744761081607,1,100
56,47.118519363866206,1,100
57,47.068160275526026,1,100
58,47.02971886691438,1,100
59,47.00738558167584,1,100
60,47.013743073212254,1,100
61,47.148100253513356,1,100
62,47.19598624439466,1,100
63,47.19319733311056,1,100
64,47.1438280690863,1,100
65,47.14848780071236,1,100
66,47.140282782364764,1,100
67,47.180546416549916,1,100
68,47.13878584584464,1,100
69,47.08244332485904,1,100
70,47.075446388099095,1,100
71,47.06826168050405,1,100
72,47.05550180120554,1,100
73,47.08511558340562,1,100
74,47.10225736017105,1,100
75,47.12854893624033,1,100
76,47.18159732602739,1,100
77,47.19325638965582,1,100
