time_period,total_load,cell_barring,cell_radius,pes_num
0,54.1093997081097,1,90,45
1,54.19179353788162,1,80,45
2,53.072777102445855,1,70,44
3,54.35207178793439,1,60,45
4,48.393739302756465,1,50,40
5,35.13088767004946,0,50,29
6,46.10684244511505,1,50,38
7,34.03499885116154,0,50,28
8,40.14441998978112,0,60,33
9,47.455064790889836,1,60,39
10,43.89548204701838,0,60,36
11,45.1572980786872,1,60,37
12,42.783330643576775,0,60,35
13,42.84740718934169,0,70,35
14,44.121485248165335,0,80,36
15,44.17121883367337,0,90,36
16,44.22223923175251,0,100,36
17,44.285865119785626,0,110,36
18,44.34682688715971,0,120,36
19,44.40392631994152,0,130,36
20,44.46384305932177,0,140,36
21,44.52583071739835,0,150,36
22,44.58062803328714,0,160,36
23,44.62281938069152,0,170,36
