time_period,total_load,cell_barring,cell_radius,pes_num
0,54.08043616954308,1,90,45
1,54.184596981764095,1,80,45
2,54.271829920913206,1,70,45
3,54.327844791843184,1,60,45
4,49.587944307580166,1,50,41
5,41.19923016585946,0,50,34
6,48.51707215079101,1,50,40
7,43.73653419818212,0,50,36
8,45.005326780821065,1,50,37
9,42.63580143654783,0,50,35
10,42.69423048930677,0,60,35
11,45.17970032577409,1,60,37
12,44.02266408273104,0,60,36
13,45.28475126628749,1,60,37
14,44.132778672566275,0,60,36
15,44.19095010442498,0,70,36
16,44.23181388729586,0,80,36
17,44.285535420625955,0,90,36
18,44.32788146341959,0,100,36
19,44.37965860559533,0,110,36
20,44.42503983811874,0,120,36
21,44.467582664574174,0,130,36
22,44.51262988762923,0,140,36
23,44.55180184043215,0,150,36
