time_period,total_load,cell_barring,cell_radius,pes_num
0,54.089998724031354,1,90,45
1,54.18070440526266,1,80,45
2,54.269386332744006,1,70,45
3,53.12936625012913,1,60,44
4,44.75117035961801,0,60,37
5,54.49084575067373,1,60,45
6,49.72308645258806,1,50,41
7,35.21991235193728,0,50,29
8,47.413441631904654,1,50,39
9,38.96337580234724,0,50,32
10,40.240016058785464,0,60,33
11,40.28858202410406,0,70,33
12,40.33126954224809,0,80,33
13,40.3824952689643,0,90,33
14,40.43159273414794,0,100,33
15,40.47065800076041,0,110,33
16,40.509160245219114,0,120,33
17,40.55002765543605,0,130,33
18,40.59294943126838,0,140,33
19,40.64382172850805,0,150,33
20,40.699488497727415,0,160,33
21,40.747027527883986,0,170,33
22,40.78593132613607,0,180,33
23,40.83781308517216,0,190,33
