time_period,total_load,cell_barring,cell_radius,pes_num
0,53.89492798920126,1,90,45
1,53.78036775445939,1,80,45
2,53.66571170457618,1,70,45
3,48.79769485779369,1,60,41
4,39.203399965801125,0,60,33
5,48.60968933992882,1,60,41
6,41.40448005380099,0,60,35
7,43.685338620961716,0,70,37
8,48.37297709301866,1,70,41
9,45.89785221167617,1,60,39
10,41.0989372583522,0,60,35
11,41.01678563630371,0,70,35
12,40.94102840778574,0,80,35
13,40.86997594045041,0,90,35
14,40.79701273465709,0,100,35
15,40.71954174170573,0,110,35
16,40.64670579283937,0,120,35
17,40.572769535012384,0,130,35
18,40.50372202142868,0,140,35
19,40.425538392865086,0,150,35
20,40.353162976197936,0,160,35
21,40.292692674819,0,170,35
22,40.21979515050739,0,180,35
23,40.141063240029105,0,190,35
