time_period,cell_id,pe_id,load
0,3,135,1.2022215060900603
0,3,136,1.2021473953110084
0,3,137,1.2026986468174894
0,3,138,1.2019545607216167
0,3,139,1.2020723158794908
0,3,140,1.2025268065252053
0,3,141,1.2018494228408192
0,3,142,1.2027769087665912
0,3,143,1.2016782735889726
0,3,144,1.2015832445755257
0,3,145,1.2019430914271356
0,3,146,1.2015561870187188
0,3,147,1.2012271479192345
0,3,148,1.2007108968803433
0,3,149,1.2027495301042384
0,3,150,1.2015741643545752
0,3,151,1.2029587543946154
0,3,152,1.2027333461773422
0,3,153,1.2019846718111316
0,3,154,1.2026099468038538
0,3,155,1.201535250991262
0,3,156,1.2020885655971234
0,3,157,1.201979564879782
0,3,158,1.2032270047506644
0,3,159,1.2010111734359674
0,3,160,1.2048308481797296
0,3,161,1.202513867651467
0,3,162,1.202150685613666
0,3,163,1.2028548501866496
0,3,164,1.200984599343581
0,3,165,1.202583631199313
0,3,166,1.2033526461379804
0,3,167,1.2031552091197695
0,3,168,1.2014319916354732
0,3,169,1.2007801024399445
0,3,170,1.2028022340366178
0,3,171,1.201200816023492
0,3,172,1.2021755336265054
0,3,173,1.201433102815453
0,3,174,1.2030458686016123
0,3,175,1.2009479652946153
0,3,176,1.2013640659616864
0,3,177,1.2020110055178117
0,3,178,1.2008214181613055
0,3,179,1.2033822157760312
1,3,135,1.203102896442524
1,3,136,1.2012203765444018
1,3,137,1.2058354169617995
1,3,138,1.203364402518601
1,3,139,1.204685514314568
1,3,140,1.2018410122622019
1,3,141,1.2021479157081478
1,3,142,1.2038922770291542
1,3,143,1.2019847506344767
1,3,144,1.2047465135285123
1,3,145,1.203262441503815
1,3,146,1.2042629457140124
1,3,147,1.2023245831284537
1,3,148,1.2032193355222258
1,3,149,1.2043228378028117
1,3,150,1.2032665526283635
1,3,151,1.204543796951933
1,3,152,1.2027988816552913
1,3,153,1.2024428386266555
1,3,154,1.2035026743109747
1,3,155,1.2031336486968152
1,3,156,1.2044565501835374
1,3,157,1.2041114027313102
1,3,158,1.2058402744850962
1,3,159,1.2024963908822184
1,3,160,1.2078635387224819
1,3,161,1.2050462434237073
1,3,162,1.2059894807728366
1,3,163,1.2055594196719408
1,3,164,1.2044673209577688
1,3,165,1.204528624856981
1,3,166,1.203052626400406
1,3,167,1.2056939726226568
1,3,168,1.2037811840687604
1,3,169,1.2029787876556126
1,3,170,1.204999322546107
1,3,171,1.2039159456484785
1,3,172,1.2056346765450465
1,3,173,1.202348788037666
1,3,174,1.2043980352377979
1,3,175,1.203830219055982
1,3,176,1.2024809461759556
1,3,177,1.203266460951713
1,3,178,1.20306880242267
1,3,179,1.2054179014940882
2,3,135,1.205741128646589
2,3,136,1.2033669128502233
2,3,137,1.208188994752915
2,3,138,1.2056427846529933
2,3,139,1.206894477592916
2,3,140,1.2036813451099566
2,3,141,1.204383792548469
2,3,142,1.2058494792058094
2,3,143,1.2027735552925973
2,3,144,1.2068713218870988
2,3,145,1.2040659457324923
2,3,146,1.206333566057201
2,3,147,1.2027300962162464
2,3,148,1.2068670024703274
2,3,149,1.206019369024793
2,3,150,1.2054522610984493
2,3,151,1.2053235716188642
2,3,152,1.205268712154715
2,3,153,1.2035104017285314
2,3,154,1.2031180086440911
2,3,155,1.2051422099188667
2,3,156,1.2050329986159873
2,3,157,1.205651538588588
2,3,158,1.2071261399584978
2,3,159,1.2050085515285973
2,3,160,1.2094365640794305
2,3,161,1.2076545748963259
2,3,162,1.2079931166437081
2,3,163,1.2064839649718762
2,3,164,1.2063062409146261
2,3,165,1.2049817388505515
2,3,166,1.2055845368126392
2,3,167,1.207513193245532
2,3,168,1.204614484425159
2,3,169,1.2062351358612382
2,3,170,1.2060643701611737
2,3,171,1.2064903556540316
2,3,172,1.2071471128336655
2,3,173,1.2046458370238042
2,3,174,1.2053582340119013
2,3,175,1.2068770974063017
2,3,176,1.2046217393678469
2,3,177,1.205872918476019
2,3,178,1.2054790235066863
2,3,179,1.207139027120824
3,3,135,1.2078898377111078
3,3,136,1.2061417633373903
3,3,137,1.2099049531273982
3,3,138,1.2072110928311945
3,3,139,1.207543440902315
3,3,140,1.2042495796830182
3,3,141,1.2062696212410586
3,3,142,1.2070568126157801
3,3,143,1.203425243650889
3,3,144,1.2090571261333254
3,3,145,1.2058766433679233
3,3,146,1.209447780621483
3,3,147,1.205504903263059
3,3,148,1.2073811016167633
3,3,149,1.2083623987747252
3,3,150,1.2065383931295453
3,3,151,1.2087518275599272
3,3,152,1.2081285066915604
3,3,154,1.2062347674557439
3,3,155,1.2066416943079832
3,3,156,1.2059342460325897
3,3,157,1.207970765601326
3,3,158,1.2107559423141787
3,3,159,1.2072089211077535
3,3,160,1.2105790616186305
3,3,161,1.2089051509867765
3,3,162,1.2100833963421467
3,3,163,1.2087753960685281
3,3,164,1.2076562098407084
3,3,165,1.2074393663760548
3,3,166,1.2069394651019534
3,3,167,1.2084601370565682
3,3,168,1.2065352229824478
3,3,169,1.2092017491963036
3,3,170,1.20927719995822
3,3,171,1.2090903655719991
3,3,172,1.2090607094485413
3,3,173,1.2062791079513226
3,3,174,1.2072478647034124
3,3,175,1.20985094427379
3,3,176,1.2067994659221084
3,3,177,1.2083379841522395
3,3,178,1.208825082659909
3,3,179,1.20852606343759
3,3,99,1.207994390652775
4,3,136,1.207322690955788
4,3,137,1.2116660513755313
4,3,138,1.2091121191811725
4,3,139,1.2108066741181576
4,3,140,1.206486815781292
4,3,141,1.2086396734028197
4,3,142,1.2095372688947392
4,3,143,1.2054144823091701
4,3,144,1.208704693911798
4,3,145,1.2082694097694178
4,3,146,1.2114152686032489
4,3,147,1.2063337078084018
4,3,148,1.2095570099629191
4,3,149,1.2108863740910327
4,3,150,1.2078199533794525
4,3,151,1.2105624718441548
4,3,154,1.2088285475692584
4,3,155,1.208033786963681
4,3,156,1.2065850255570292
4,3,157,1.2106847726497394
4,3,158,1.213219527195867
4,3,159,1.2093265396544388
4,3,160,1.2120998991719283
4,3,161,1.2106793333225396
4,3,162,1.21150102925497
4,3,163,1.2112895888072401
4,3,164,1.2098828601070322
4,3,165,1.2094345885805893
4,3,166,1.2063829118690221
4,3,167,1.21121874814199
4,3,168,1.2074381348867833
4,3,170,1.2087968608213464
4,3,171,1.2119543638743129
4,3,172,1.2119748377441275
4,3,173,1.2085516121076534
4,3,174,1.2103286896759928
4,3,175,1.212112615187445
4,3,176,1.2075074631176579
4,3,177,1.2097139334373406
4,3,178,1.2114441482118372
4,3,179,1.2103182397439698
5,3,136,1.2092164169821078
5,3,137,1.2131178857556892
5,3,138,1.2087204125352549
5,3,140,1.2097012635327868
5,3,141,1.2109782369354327
5,3,142,1.2112934207012374
5,3,143,1.2073185170358935
5,3,144,1.211577423828566
5,3,145,1.2111960551738858
5,3,147,1.2070581100334394
5,3,148,1.2103811585109459
5,3,149,1.2125667219692124
5,3,151,1.2118448530852155
5,3,155,1.2093703696682951
5,3,157,1.2111854898992727
5,3,159,1.2111692827282092
5,3,161,1.2126668345321052
5,3,163,1.213257830103251
5,3,165,1.211158796437774
5,3,166,1.2099243506739268
5,3,167,1.212931258876052
5,3,168,1.2096490962810877
5,3,171,1.214230173208858
5,3,172,1.2127780255884828
5,3,174,1.2124941946035748
5,3,175,1.2138278731769025
5,3,176,1.2092363888105016
5,3,177,1.2115883288129092
5,3,178,1.211996239131821
5,3,179,1.2119107105180238
6,3,136,1.2095411010446027
6,3,137,1.2154917287864837
6,3,138,1.2115605736014965
6,3,140,1.2118321116875739
6,3,141,1.2147198019105194
6,3,142,1.2135695327157703
6,3,143,1.210100406894875
6,3,144,1.2125513473697467
6,3,145,1.212033631150149
6,3,147,1.2086129115464885
6,3,148,1.2126645834769987
6,3,149,1.2149481230561066
6,3,151,1.2130134243656194
6,3,155,1.2131195004644726
6,3,157,1.2130419674930886
6,3,159,1.2135338743454405
6,3,161,1.2162413319985799
6,3,163,1.2147805677810062
6,3,165,1.213765179455967
6,3,166,1.2124283110945497
6,3,167,1.2144471209603114
6,3,168,1.210769980430417
6,3,171,1.214772492090773
6,3,172,1.2151116556525325
6,3,174,1.2151209642735517
6,3,175,1.2167266354206117
6,3,176,1.2093867650590595
6,3,177,1.213907681067773
6,3,178,1.2145041873406026
6,3,179,1.2137546155025567
7,3,136,1.2114742694897793
7,3,137,1.2173667400305552
7,3,138,1.2139229101961762
7,3,140,1.2138892631353888
7,3,141,1.2170151684397184
7,3,142,1.2148482878873201
7,3,143,1.2115598101781293
7,3,144,1.2136205071533053
7,3,145,1.212630843048142
7,3,147,1.2102595339107338
7,3,148,1.2132460330203187
7,3,149,1.215719840953516
7,3,151,1.2145925027898388
7,3,155,1.214582855744724
7,3,157,1.2150996786026094
7,3,159,1.2153454648721351
7,3,161,1.216821973825372
7,3,163,1.2184857390668746
7,3,165,1.215613411598749
7,3,166,1.2151479244251115
7,3,167,1.2161967445428075
7,3,168,1.2120355251607882
7,3,171,1.2171961060167815
7,3,172,1.217335989299293
7,3,174,1.2172447724377609
7,3,175,1.2192958715814255
7,3,176,1.211930644020512
7,3,177,1.2161449730262457
7,3,178,1.215471915372512
7,3,179,1.2143414056796276
8,3,136,1.2135766402285593
8,3,137,1.2199374877485376
8,3,138,1.2146503836647424
8,3,140,1.2171435227620808
8,3,141,1.217755218309895
8,3,142,1.2148294338978702
8,3,143,1.2131608943989003
8,3,144,1.215236861557146
8,3,145,1.2142905151880352
8,3,147,1.2114103031857992
8,3,148,1.2150905177721056
8,3,149,1.2176528487564533
8,3,151,1.215662300336271
8,3,155,1.2149602800746424
8,3,157,1.2178858486430895
8,3,159,1.218223871524537
8,3,161,1.2190078583735107
8,3,163,1.2198316153961666
8,3,165,1.2172720627562452
8,3,166,1.216203562218338
8,3,167,1.2184376368792875
8,3,168,1.213771613499696
8,3,171,1.2190602286873464
8,3,172,1.2193095595406727
8,3,174,1.2182291159196592
8,3,175,1.2187041655833635
8,3,176,1.2143527325499044
8,3,177,1.219238142141374
8,3,178,1.2158543471331487
8,3,179,1.2151735079361063
9,3,136,1.2157293884648772
9,3,137,1.2206844392990766
9,3,138,1.2158775777482365
9,3,140,1.2185110156805474
9,3,141,1.2206682529478603
9,3,142,1.2179226135693195
9,3,143,1.2137539989663209
9,3,144,1.2162164333460093
9,3,145,1.2153927291052264
9,3,147,1.2120058756586605
9,3,148,1.2162596855339587
9,3,149,1.218416720507213
9,3,151,1.2171168512480048
9,3,155,1.2168598028599498
9,3,157,1.2194554676389178
9,3,159,1.2212631035560073
9,3,161,1.2194214528500367
9,3,163,1.2215848177792015
9,3,165,1.2187164584440506
9,3,166,1.2150308957193277
9,3,167,1.219810341442857
9,3,168,1.2156668874882879
9,3,171,1.2209030195907191
9,3,172,1.2203690484969487
9,3,174,1.2198183830285718
9,3,175,1.2186229259391328
9,3,176,1.2166405135774976
9,3,177,1.2195965288756172
9,3,178,1.218387991572688
9,3,179,1.216617321562714
