time_period,total_load,cell_barring,cell_radius
0,53.89208056362519,1,90
1,53.773737053715024,1,80
2,53.66175958309787,1,70
3,53.58739098364082,1,60
4,43.97897208709674,0,60
5,52.201688995536365,1,60
6,46.16693576111826,1,50
7,29.527285394989512,0,50
8,43.64678672962257,0,60
9,45.94261176973933,1,60
10,43.469126565538836,0,60
11,43.38248328319548,0,70
12,45.68043489866244,1,70
13,44.405204428169114,0,70
14,44.308620492997164,0,80
15,44.213348057898436,0,90
16,44.130306662434556,0,100
17,44.0542964754133,0,110
