time_period,total_load,cell_barring,cell_radius
0,54.10163180718531,1,90
1,54.188825381304255,1,80
2,53.071676243101415,1,70
3,51.94542338224556,1,60
4,42.34174589239248,0,60
5,52.072953715256034,1,60
6,47.2900150902995,1,50
7,36.42517432047298,0,50
8,44.98655989567162,0,60
9,45.038507688895045,1,60
10,43.879626854889004,0,60
11,43.932807595203606,0,70
12,43.988660346914294,0,80
13,45.24325806317197,1,80
14,44.10751915584376,0,80
15,44.1623732348257,0,90
16,44.214269009053254,0,100
17,44.2502351643741,0,110
