time_period,total_load,cell_barring,cell_radius
0,54.09963931949571,1,90
1,54.19116314065161,1,80
2,54.26781854582043,1,70
3,50.75151276034935,1,60
4,44.77818001109071,0,60
5,50.88561799162266,1,60
6,44.89839013027617,0,60
7,47.3859216403818,1,60
8,45.01264649617493,1,50
9,29.24497077653159,0,50
10,43.89858429056894,0,60
11,43.95152086883975,0,70
12,45.20439881413462,1,70
13,44.06565940408812,0,70
14,44.12733716562136,0,80
15,44.17058656301812,0,90
16,44.23151548914431,0,100
17,44.28662202499741,0,110
