time_period,total_load,cell_barring,cell_radius
0,45.096421802454635,1,90
1,45.216811912088694,1,80
2,45.283457560759366,1,70
3,45.32889987234611,1,60
4,45.33620925410375,1,50
5,45.34803448634485,1,50
6,45.397066149544564,1,50
7,45.43436900348214,1,50
8,45.491862850143335,1,50
9,45.54512879634146,1,50
10,45.59240258795244,1,50
11,45.64211221361579,1,50
12,45.72423502325845,1,50
13,45.783094882149214,1,50
14,45.83705464478296,1,50
15,45.88581895118918,1,50
16,45.92399924737909,1,50
17,45.95686656791026,1,50
18,45.99809977085794,1,50
19,46.012039118012545,1,50
20,46.03795010982931,1,50
21,46.08257324698029,1,50
22,46.099632879264554,1,50
23,46.17624529128202,1,50
24,46.2497657911596,1,50
25,46.3332619350962,1,50
