time_period,total_load,cell_barring,cell_radius
0,44.47756873302705,1,90
1,44.028847748965795,1,80
2,43.82607395116542,1,70
3,43.587256909186024,1,60
4,43.489592200291156,1,50
5,43.312546578695596,1,50
6,43.170707873435504,1,50
7,43.065974092282765,1,50
8,42.92129942892555,1,50
9,42.82258393894473,1,50
10,42.59483359633414,1,50
11,42.44163870026554,1,50
12,42.231316778914234,1,50
13,42.088658879062685,1,50
14,41.87401403662631,1,50
15,41.737133450334795,1,50
16,41.53620916128318,1,50
17,41.43148478422935,1,50
18,41.401687623994434,1,50
19,41.348272544685074,1,50
20,41.200963266818675,1,50
21,41.04740336498912,1,50
22,40.91757655903434,1,50
23,40.73800713470155,1,50
24,40.51223758453165,1,50
25,40.31886986110021,1,50
