time_period,total_load,cell_barring,cell_radius
0,45.1259572737972,1,90
1,45.23759264749138,1,80
2,45.36015550612501,1,70
3,45.452733362286295,1,60
4,45.48211352958811,1,50
5,45.54738875773173,1,50
6,45.609476584087304,1,50
7,45.63986996034587,1,50
8,45.666312131459094,1,50
9,45.718817066186546,1,50
10,45.75489669832236,1,50
11,45.76075931878312,1,50
12,45.79165059181466,1,50
13,45.84555784927851,1,50
14,45.90645652111638,1,50
15,45.957854315209964,1,50
16,46.037484058441066,1,50
17,46.092074605060525,1,50
18,46.11453149790288,1,50
19,46.111639518437286,1,50
20,46.135716488941384,1,50
21,46.20124034592669,1,50
22,46.2585170329519,1,50
23,46.31879771125195,1,50
24,46.3742242814265,1,50
25,46.424926361453515,1,50
